Geographic Area,2020,2021,2022,2023,2024
United States,331577720,332099760,334017321,336806231,340110988
Alabama,5033094,5049196,5076181,5117673,5157699
Alaska,733017,734420,734442,736510,740133
Arizona,7187135,7274078,7377566,7473027,7582384
Arkansas,3014546,3026870,3047704,3069463,3088354
California,39521958,39142565,39142414,39198693,39431263
Colorado,5787129,5814036,5850935,5901339,5957493
Connecticut,3579918,3606607,3617925,3643023,3675069
Delaware,991928,1005062,1020625,1036423,1051917
District of Columbia,670917,669256,676725,687324,702250
Florida,21592035,21831949,22379312,22904868,23372215
Georgia,10732888,10792060,10931805,11064432,11180878
Hawaii,1451252,1447029,1440359,1441387,1446146
Idaho,1849415,1904848,1944299,1971122,2001619
Illinois,12799088,12700641,12621821,12642259,12710158
Indiana,6790497,6815907,6844545,6880131,6924275
Iowa,3191141,3198613,3202820,3218414,3241488
Kansas,2938172,2938338,2937324,2951500,2970606
Kentucky,4508318,4507583,4519233,4550595,4588372
Louisiana,4652301,4627971,4593687,4588071,4597740
Maine,1364571,1378931,1390922,1399646,1405012
Maine-CD-1,725524,733159,739534,744172,747025
Maine-CD-2,639047,645771,651386,655471,657983
Maryland,6177935,6179403,6192440,6217062,6263220
Massachusetts,6994598,7000474,7022468,7066568,7136171
Michigan,10072703,10041351,10050877,10083356,10140459
Minnesota,5710735,5718660,5721621,5753048,5793151
Mississippi,2958536,2947209,2941939,2943172,2943045
Missouri,6154744,6171374,6179414,6208038,6245466
Montana,1087230,1106522,1122095,1131302,1137233
Nebraska,1963387,1964537,1972246,1987864,2005465
Nebraska-CD-1,726453,726878,729731,735509,742021
Nebraska-CD-2,687175,687587,690286,695752,701912
Nebraska-CD-3,549759,550072,552229,556602,561530
Nevada,3116967,3148141,3176116,3214363,3267467
New Hampshire,1378756,1387677,1396678,1402199,1409032
New Jersey,9272794,9270541,9295227,9379642,9500851
New Mexico,2118606,2117333,2113868,2121164,2130256
New York,20105171,19848276,19703747,19737367,19867248
North Carolina,10449652,10564320,10710793,10881189,11046024
North Dakota,779563,777966,781057,789047,796568
Ohio,11798905,11767344,11777874,11824034,11883304
Oklahoma,3965415,3992238,4026229,4063882,4095393
Oregon,4243779,4254280,4247372,4253653,4272371
Pennsylvania,12996143,13015571,12984990,13017721,13078751
Rhode Island,1096530,1097246,1099498,1103429,1112308
South Carolina,5132249,5194274,5287935,5387830,5478831
South Dakota,887948,896492,909723,918305,924669
Tennessee,6927904,6965740,7062217,7148304,7227750
Texas,29239570,29570351,30113488,30727890,31290831
Utah,3284077,3339738,3391011,3443222,3503613
Vermont,642977,647210,648142,648708,648493
Virginia,8637615,8658910,8683414,8734685,8811195
Washington,7727209,7743760,7794123,7857320,7958180
West Virginia,1791646,1785618,1774122,1770495,1769979
Wisconsin,5897375,5881608,5903975,5930405,5960975
Wyoming,577681,579636,581978,585067,587618
